tienda,tipo,modelo,medida,medida_origen,almohadas,cuotas_si,cuotas_simple,precio,pack,sku_match,titulo_orig,url,fecha
TMS,sommier,Exclusive Pillow,180x200,explicita,0,,0,1102000,1,SEXP180,Sommier Cannon Exclusive Pillow 200x180 King Size Premium Color Marrón/Beige,https://www.mercadolibre.com.ar/sommier-cannon-exclusive-pillow-200x180-king-size-premium-color-marronbeige/p/MLA15142452?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=18&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1909942738&sid=search,2026-04-27 09:31
TMS,sommier,Exclusive,180x200,explicita,0,12,0,1513687,1,SEX180,Cannon Espuma Exclusive - Beige - King - 200 cm - 180 cm (Incluye: Con base dividida),https://www.mercadolibre.com.ar/cannon-espuma-exclusive-beige-king-200-cm-180-cm-incluye-con-base-dividida/p/MLA9772959?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=19&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA2074850592&sid=search,2026-04-27 09:31
TMS,sommier,Exclusive Pillow,160x200,inferida,0,,0,947000,1,SEXP160,Sommier y colchón Cannon Exclusive Doble Pillow 160 Queen color gris y marrón,https://www.mercadolibre.com.ar/sommier-y-colchon-cannon-exclusive-doble-pillow-160-queen-color-gris-y-marron/p/MLA15142451?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=20&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1830965778&sid=search,2026-04-27 09:31
TMS,sommier,Doral,90x190,explicita,0,18,0,714797,1,SDO90,Sommier Y Colchon Cannon Doral Plaza Y Media 90x190 Jackard Color Gris Claro Combinado Con Gris Oscuro,https://www.mercadolibre.com.ar/sommier-y-colchon-cannon-doral-plaza-y-media-90x190-jackard-color-gris-claro-combinado-con-gris-oscuro/p/MLA24068627?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=21&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA2072486164&sid=search,2026-04-27 09:31
TMS,sommier,Exclusive,200x200,explicita,0,,0,1129000,1,SEX200,Colchón y Sommier Cannon Exclusive King de Espuma 200 x 200 cm,https://www.mercadolibre.com.ar/colchon-y-sommier-cannon-exclusive-king-de-espuma-200-x-200-cm/p/MLA15124327?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=22&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1445891509&sid=search,2026-04-27 09:31
TMS,sommier,Renovation Europillow,100x190,explicita,0,6,0,739845,1,SREP100,Sommier Y Colchon Cannon Renovation Pillow 100x190 Cm Espuma Color Blanco Y Gris,https://www.mercadolibre.com.ar/sommier-y-colchon-cannon-renovation-pillow-100x190-cm-espuma-color-blanco-y-gris/p/MLA53294060?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=23&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1596521593&sid=search,2026-04-27 09:31
TMS,sommier,Exclusive,80x190,explicita,0,12,0,600255,1,SEX80,Sommier Y Colchon Cannon Exclusive 30kg 80x190x25 Color Gris/Marrón,https://www.mercadolibre.com.ar/sommier-y-colchon-cannon-exclusive-30kg-80x190x25-color-grismarron/p/MLA9868404?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=24&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1494980415&sid=search,2026-04-27 09:31
TMS,sommier,Doral Pillow,180x200,inferida,0,,0,1246000,1,SDOP180,Sommier Americana Cannon resortes Doral Pillow Top King de 200cm negro/blanco con base dividida,https://www.mercadolibre.com.ar/sommier-americana-cannon-resortes-doral-pillow-top-king-de-200cm-negroblanco-con-base-dividida/p/MLA15142307?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=25&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1445878879&sid=search,2026-04-27 09:31
TMS,sommier,Doral,160x200,inferida,0,,0,966000,1,SDO160,Cannon resortes Doral negro/blanco súper queen 200 cm 160 cm con base dividida,https://www.mercadolibre.com.ar/cannon-resortes-doral-negroblanco-super-queen-200-cm-160-cm-con-base-dividida/p/MLA9880732?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=26&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1445955093&sid=search,2026-04-27 09:31
TMS,sommier,Doral,200x200,explicita,0,,0,1090000,1,SDO200,Cannon Resortes Doral - Negro/Blanco - Súper king - 200 cm - 200 cm (Incluye: Con base dividida),https://www.mercadolibre.com.ar/cannon-resortes-doral-negroblanco-super-king-200-cm-200-cm-incluye-con-base-dividida/p/MLA15124330?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=27&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1445878693&sid=search,2026-04-27 09:31
TMS,sommier,Exclusive Pillow,90x190,explicita,0,18,0,752494,1,SEXP90,Sommier Y Colchón Cannon Exclusive Doble Pilllow 90x190 Color Gris/marrón,https://www.mercadolibre.com.ar/sommier-y-colchon-cannon-exclusive-doble-pilllow-90x190-color-grismarron/p/MLA24032318?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=28&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA2072664204&sid=search,2026-04-27 09:31
TMS,sommier,Renovation,180x200,explicita,0,,0,1193000,1,SRE180,Cannon Espuma Renovation sommier King de 200x180cm gris oscuro y blanco con base dividida,https://www.mercadolibre.com.ar/cannon-espuma-renovation-sommier-king-de-200x180cm-gris-oscuro-y-blanco-con-base-dividida/p/MLA9862520?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=29&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1435727621&sid=search,2026-04-27 09:31
TMS,sommier,Doral,180x200,explicita,0,,0,1046000,1,SDO180,Cannon Resortes Doral - Negro/Blanco - King - 200 cm - 180 cm (Incluye: Con base dividida),https://www.mercadolibre.com.ar/cannon-resortes-doral-negroblanco-king-200-cm-180-cm-incluye-con-base-dividida/p/MLA9727277?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=30&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1830953060&sid=search,2026-04-27 09:31
TMS,sommier,Renovation,90x190,explicita,0,18,0,769892,1,SRE90,Sommier Y Colchon Cannon Renovation 35kg Densidad 90x190 Color Gris Claro Combinado,https://www.mercadolibre.com.ar/sommier-y-colchon-cannon-renovation-35kg-densidad-90x190-color-gris-claro-combinado/p/MLA28003738?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=31&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA2072423032&sid=search,2026-04-27 09:31
TMS,sommier,Exclusive,90x190,explicita,0,12,0,636502,1,SEX90,Box Spring Cannon Espuma exclusive Individual de 190cmx90cm gris y marrón,https://www.mercadolibre.com.ar/box-spring-cannon-espuma-exclusive-individual-de-190cmx90cm-gris-y-marron/p/MLA29115812?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=32&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA2072308014&sid=search,2026-04-27 09:31
