tienda,categoria,titulo,precio,cuotas,envio,url,fecha
TMS,sommiers,Cannon Espuma Exclusive - Beige - Queen - 200 cm - 160 cm (Incluye: Con base dividida),1.265.756,"Mismo precio 12 cuotas de 
$
105.479",-,https://www.mercadolibre.com.ar/cannon-espuma-exclusive-beige-queen-200-cm-160-cm-incluye-con-base-dividida/p/MLA15124326?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=13&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA2072589078&sid=search,2026-04-27 09:31
TMS,sommiers,Cannon Resortes Doral Pillow Top - Negro/Blanco - Queen - 200 cm - 160 cm (Incluye: Con base dividida),1.133.000,"24 cuotas de 
$
91.083",-,https://www.mercadolibre.com.ar/cannon-resortes-doral-pillow-top-negroblanco-queen-200-cm-160-cm-incluye-con-base-dividida/p/MLA15142305?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=14&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1445865363&sid=search,2026-04-27 09:31
TMS,sommiers,Cannon Resortes Doral 2 1/2 plazas 190x140cm negro y blanco,824.727,"Mismo precio 6 cuotas de 
$
137.454",-,https://www.mercadolibre.com.ar/cannon-resortes-doral-2-12-plazas-190x140cm-negro-y-blanco/p/MLA9776237?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=15&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA2004030468&sid=search,2026-04-27 09:31
TMS,sommiers,Somier Y Colchon Cannon Sublime Res.c/pil 140x190 Color Beige,1.181.458,"Mismo precio 6 cuotas de 
$
196.909",-,https://www.mercadolibre.com.ar/somier-y-colchon-cannon-sublime-rescpil-140x190-color-beige/p/MLA9767723?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=16&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA2005144896&sid=search,2026-04-27 09:31
TMS,sommiers,Cannon Resortes Doral - Negro/Blanco - 1 plaza - 190 cm - 80 cm,469.000,"24 cuotas de 
$
37.703",-,https://www.mercadolibre.com.ar/cannon-resortes-doral-negroblanco-1-plaza-190-cm-80-cm/p/MLA15793731?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=17&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1429400799&sid=search,2026-04-27 09:31
TMS,sommiers,Sommier Cannon Exclusive Pillow 200x180 King Size Premium Color Marrón/Beige,1.102.000,"24 cuotas de 
$
88.591",-,https://www.mercadolibre.com.ar/sommier-cannon-exclusive-pillow-200x180-king-size-premium-color-marronbeige/p/MLA15142452?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=18&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1909942738&sid=search,2026-04-27 09:31
TMS,sommiers,Cannon Espuma Exclusive - Beige - King - 200 cm - 180 cm (Incluye: Con base dividida),1.513.687,"Mismo precio 12 cuotas de 
$
126.140",-,https://www.mercadolibre.com.ar/cannon-espuma-exclusive-beige-king-200-cm-180-cm-incluye-con-base-dividida/p/MLA9772959?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=19&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA2074850592&sid=search,2026-04-27 09:31
TMS,sommiers,Sommier y colchón Cannon Exclusive Doble Pillow 160 Queen color gris y marrón,947.000,"24 cuotas de 
$
76.130",-,https://www.mercadolibre.com.ar/sommier-y-colchon-cannon-exclusive-doble-pillow-160-queen-color-gris-y-marron/p/MLA15142451?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=20&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1830965778&sid=search,2026-04-27 09:31
TMS,sommiers,Sommier Y Colchon Cannon Doral Plaza Y Media 90x190 Jackard Color Gris Claro Combinado Con Gris Oscuro,714.797,"Mismo precio 18 cuotas de 
$
39.710",-,https://www.mercadolibre.com.ar/sommier-y-colchon-cannon-doral-plaza-y-media-90x190-jackard-color-gris-claro-combinado-con-gris-oscuro/p/MLA24068627?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=21&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA2072486164&sid=search,2026-04-27 09:31
TMS,sommiers,Colchón y Sommier Cannon Exclusive King de Espuma 200 x 200 cm,1.129.000,"24 cuotas de 
$
90.762",-,https://www.mercadolibre.com.ar/colchon-y-sommier-cannon-exclusive-king-de-espuma-200-x-200-cm/p/MLA15124327?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=22&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1445891509&sid=search,2026-04-27 09:31
